"Name","MTPrice","FSPrice","SSPrice","ratings","roomtype","Numberofreview","NumberOfPeople"
"Gaia Hostel","KES 26,345","","","9.5","Triple Room with Shared Bathroom","47 reviews","3"
"Hostel One Budapest","KES 23,647","","","9.0","Bed in 8-Bed Mixed Dormitory Room","828 reviews","3"
"Shantee House","KES 25,029","","","9.0","Double Room with Shared Bathroom","334 reviews","3"
"Lavender Circus Hostel, Doubles & Ensuites","KES 30,494","","","8.9","Double Room with Shared Bathroom","516 reviews","3"
"Fehérkőlápa Turistaház Panzió","KES 34,560","","","8.9","Superior Queen Room","Travel Sustainable property","3"
"Harangtorony Szálló","KES 40,252","","","8.9","Apartment with Terrace","246 reviews","3"
"NETIZEN Budapest Centre","KES 27,752","","","8.8","Family Room with Bathroom","4,690 reviews","3"
"Maverick City Lodge","KES 18,461","","","8.7","Superior Double Room","Travel Sustainable property","3"
"Pal's Hostel and Apartments","KES 20,339","","","8.7","Superior Triple Room","1,089 reviews","3"
"Maverick Hostel & Ensuites","KES 37,488","","","8.6","Quadruple Room with Private Bathroom","Travel Sustainable property","3"
"Flow Spaces","KES 22,296","","","8.5","Superior Studio","Travel Sustainable property","3"
"Das Nest Budapest","KES 24,371","","","8.4","Bed in 6-Bed Mixed Dormitory Room","Travel Sustainable property","3"
"7x24 Central Hostel","KES 23,951","","","8.3","Quadruple Room","266 reviews","3"
"Muskátli Vendégház","KES 130,107","","","8.1","Holiday Home","9 reviews","3"
"Kisgáti Szálló","KES 26,021","","","8.0","Triple Room","Travel Sustainable property","3"
"Wombat's City Hostel Budapest","KES 36,256","","","8.0","4-Bed Mixed Dormitory Room","Travel Sustainable property","3"
"a&o Budapest City","KES 25,966","","","7.7","Quadruple Room","Travel Sustainable property","3"
"Equity Point Budapest","KES 32,201","","","7.6","Quadruple Room with Private Bathroom","520 reviews","3"
"Center Hostel and Guest House","KES 22,362","","","7.5","Triple Room with Private Bathroom","330 reviews","3"
